name|owner|language|stargazerCount|createdAt|amountYear|isOld
Deep-Live-Cam|hacksider|Python|44390|2023-09-24T13:19:31Z|-1|false
terraform|hashicorp|Go|44319|2014-03-13T22:25:48Z|-10|true
open-source-ios-apps|dkhamsing|não encontrado|44107|2015-01-26T23:32:34Z|-10|true
pocketbase|pocketbase|Go|44069|2022-07-05T06:06:21Z|-2|false
30-Days-Of-JavaScript|Asabeneh|JavaScript|44027|2019-12-23T14:07:40Z|-5|true
query|TanStack|TypeScript|44012|2019-09-10T19:23:58Z|-5|true
PythonDataScienceHandbook|jakevdp|Jupyter Notebook|43990|2016-08-10T14:24:36Z|-8|true
fuels-ts|FuelLabs|TypeScript|43889|2021-09-03T18:11:03Z|-3|false
fuels-rs|FuelLabs|Rust|43879|2021-10-31T22:33:54Z|-3|false
htmx|bigskysoftware|JavaScript|43771|2020-04-13T16:17:51Z|-4|false
hyper|vercel|TypeScript|43754|2016-07-01T06:01:21Z|-8|true
awesome-react-components|brillout|não encontrado|43709|2016-06-24T15:19:33Z|-8|true
parcel|parcel-bundler|JavaScript|43694|2017-08-07T16:36:47Z|-7|true
zx|google|JavaScript|43660|2021-05-05T05:50:01Z|-3|false
Fooocus|lllyasviel|Python|43553|2023-08-09T18:43:40Z|-1|false
TensorFlow-Examples|aymericdamien|Jupyter Notebook|43541|2015-11-11T14:21:19Z|-9|true
build-web-application-with-golang|astaxie|Go|43443|2012-08-02T11:49:35Z|-12|true
babel|babel|TypeScript|43435|2014-09-28T13:38:23Z|-10|true
discourse|discourse|Ruby|43384|2013-01-12T00:25:55Z|-12|true
CppCoreGuidelines|isocpp|CSS|43350|2015-08-19T20:22:52Z|-9|true
retrofit|square|HTML|43342|2010-09-06T21:39:43Z|-14|true
frontend-dev-bookmarks|dypsilon|não encontrado|43321|2013-06-22T13:23:55Z|-11|true
jadx|skylot|Java|43022|2013-03-18T17:08:21Z|-11|true
open-source-mac-os-apps|serhii-londar|não encontrado|42998|2017-11-03T02:35:33Z|-7|true
awesome-java|akullpp|não encontrado|42909|2014-07-09T10:12:43Z|-10|true
LLaMA-Factory|hiyouga|Python|42834|2023-05-28T10:09:12Z|-1|false
text-generation-webui|oobabooga|Python|42724|2022-12-21T04:17:37Z|-2|false
brew|Homebrew|Ruby|42703|2016-03-06T05:08:38Z|-8|true
lazydocker|jesseduffield|Go|42647|2019-05-18T08:53:50Z|-5|true
react-use|streamich|TypeScript|42618|2018-10-27T10:16:05Z|-6|true
lx-music-desktop|lyswhut|TypeScript|42598|2019-08-14T14:31:08Z|-5|true
react-hook-form|react-hook-form|TypeScript|42556|2019-03-05T23:47:10Z|-5|true
grpc|grpc|C++|42540|2014-12-08T18:58:53Z|-10|true
kubernetes-the-hard-way|kelseyhightower|não encontrado|42519|2016-07-07T14:15:27Z|-8|true
front-end-interview-handbook|yangshun|MDX|42434|2018-01-13T19:40:08Z|-7|true
vaultwarden|dani-garcia|Rust|42240|2018-02-17T22:40:20Z|-7|true
Leaflet|Leaflet|JavaScript|42165|2010-09-22T16:57:44Z|-14|true
ragflow|infiniflow|TypeScript|42127|2023-12-12T06:13:13Z|-1|false
Rocket.Chat|RocketChat|TypeScript|42111|2015-05-19T07:36:09Z|-9|true
dbeaver|dbeaver|Java|42025|2015-10-21T08:26:28Z|-9|true
git-flight-rules|k88hudson|não encontrado|42016|2014-07-22T20:35:09Z|-10|true
uv|astral-sh|Rust|41982|2023-10-02T20:24:11Z|-1|false
pm2|Unitech|JavaScript|41962|2013-05-21T03:25:25Z|-11|true
maybe|maybe-finance|Ruby|41922|2024-01-01T22:23:46Z|-1|false
awesome-cheatsheets|LeCoupa|JavaScript|41767|2017-11-09T02:47:15Z|-7|true
Alamofire|Alamofire|Swift|41715|2014-07-31T05:56:19Z|-10|true
JeecgBoot|jeecgboot|Java|41709|2018-11-26T10:40:00Z|-6|true
edex-ui|GitSquared|JavaScript|41692|2017-01-28T09:35:02Z|-8|true
GPT-SoVITS|RVC-Boss|Python|41593|2024-01-14T18:05:21Z|-1|false
monaco-editor|microsoft|JavaScript|41582|2016-06-07T16:56:31Z|-8|true
awesome-design-patterns|DovAmir|não encontrado|41518|2018-06-04T17:47:48Z|-6|true
yarn|yarnpkg|JavaScript|41504|2016-01-19T17:39:16Z|-9|true
acme.sh|acmesh-official|Shell|41377|2015-12-26T12:56:33Z|-9|true
prisma|prisma|TypeScript|41361|2019-06-20T13:33:47Z|-5|true
LLMs-from-scratch|rasbt|Jupyter Notebook|41291|2023-07-23T18:15:57Z|-1|false
reactjs-interview-questions|sudheerj|JavaScript|41185|2018-05-31T17:17:01Z|-6|true
FreeDomain|DigitalPlatDev|HTML|41179|2024-05-30T13:23:00Z|0|false
what-happens-when|alex|não encontrado|41149|2013-11-07T04:30:06Z|-11|true
vue2-elm|bailicangdu|Vue|41056|2016-12-23T01:49:20Z|-8|true
metabase|metabase|Clojure|41051|2015-02-02T19:25:47Z|-10|true
ChatGLM-6B|THUDM|Python|41031|2023-03-13T12:00:18Z|-1|false
pyenv|pyenv|Roff|41013|2012-08-31T06:57:52Z|-12|true
python-patterns|faif|Python|41007|2012-06-06T21:02:35Z|-12|true
odoo|odoo|Python|40971|2014-05-13T15:38:58Z|-10|true
dubbo|apache|Java|40764|2012-06-19T07:56:02Z|-12|true
styled-components|styled-components|TypeScript|40705|2016-08-16T06:41:32Z|-8|true
spark|apache|Scala|40654|2014-02-25T08:00:08Z|-11|true
autogen|microsoft|Python|40594|2023-08-18T11:43:45Z|-1|false
swiper|nolimits4web|JavaScript|40594|2012-03-14T19:11:45Z|-12|true
ColossalAI|hpcaitech|Python|40514|2021-10-28T16:19:44Z|-3|false
nw.js|nwjs|JavaScript|40503|2012-01-04T06:21:10Z|-13|true
uni-app|dcloudio|JavaScript|40474|2018-07-12T08:52:39Z|-6|true
diagrams|mingrammer|Python|40367|2020-02-02T15:23:24Z|-5|true
CPlusPlusThings|Light-City|C++|40332|2019-07-14T08:45:45Z|-5|true
stablediffusion|Stability-AI|Python|40287|2022-11-23T23:59:50Z|-2|false
vuetify|vuetifyjs|TypeScript|40280|2016-09-12T00:39:35Z|-8|true
kong|Kong|Lua|40252|2014-11-17T23:56:08Z|-10|true
ailearning|apachecn|Python|40217|2017-02-25T08:53:02Z|-8|true
sentry|getsentry|Python|40155|2010-08-30T22:06:41Z|-14|true
vllm|vllm-project|Python|40067|2023-02-09T11:23:20Z|-2|false
hexo|hexojs|TypeScript|40043|2012-09-23T15:17:08Z|-12|true
fastlane|fastlane|Ruby|39952|2014-12-02T17:00:38Z|-10|true
black|psf|Python|39862|2018-03-14T19:54:45Z|-6|true
nanoGPT|karpathy|Python|39793|2022-12-28T00:51:12Z|-2|false
nvm-windows|coreybutler|Go|39788|2014-09-20T16:37:28Z|-10|true
anything-llm|Mintplex-Labs|JavaScript|39753|2023-06-04T02:29:14Z|-1|false
cobra|spf13|Go|39593|2013-09-03T20:40:26Z|-11|true
iina|iina|Swift|39575|2016-12-19T07:18:45Z|-8|true
llama_index|run-llama|Python|39501|2022-11-02T04:24:54Z|-2|false
termux-app|termux|Java|39407|2015-10-23T09:42:46Z|-9|true
markitdown|microsoft|HTML|39392|2024-11-13T19:56:40Z|0|false
ClickHouse|ClickHouse|C++|39305|2016-06-02T08:28:18Z|-8|true
fanqiang|bannedbook|Kotlin|39275|2015-01-14T00:34:25Z|-10|true
tldraw|tldraw|TypeScript|39041|2021-05-09T11:48:37Z|-3|false
cheat.sh|chubin|Python|39014|2017-05-07T21:40:56Z|-7|true
airflow|apache|Python|38993|2015-04-13T18:04:58Z|-9|true
materialize|Dogfalo|JavaScript|38870|2014-09-12T19:35:38Z|-10|true
tabler|tabler|MDX|38820|2018-02-01T09:08:59Z|-7|true
v2rayNG|2dust|Kotlin|38819|2019-05-15T02:15:31Z|-5|true
Deep-Learning-Papers-Reading-Roadmap|floodsung|Python|38811|2016-10-14T11:49:48Z|-8|true
bert|google-research|Python|38752|2018-10-25T22:57:34Z|-6|true
php-src|php|C|38733|2011-06-16T01:52:25Z|-13|true
chinese-independent-developer|1c7|não encontrado|38658|2017-09-21T11:08:23Z|-7|true
chakra-ui|chakra-ui|TypeScript|38650|2019-08-17T14:27:54Z|-5|true
esbuild|evanw|Go|38626|2016-06-14T16:08:50Z|-8|true
wrk|wg|C|38496|2012-03-20T11:12:28Z|-12|true
video.js|videojs|JavaScript|38489|2010-05-14T18:45:10Z|-14|true
cli|cli|Go|38426|2019-10-03T15:24:53Z|-5|true
50projects50days|bradtraversy|CSS|38366|2020-11-16T14:39:01Z|-4|false
Made-With-ML|GokuMohandas|Jupyter Notebook|38259|2018-11-05T03:44:27Z|-6|true
bevy|bevyengine|Rust|38216|2020-01-18T21:13:55Z|-5|true
whisper.cpp|ggerganov|C++|38202|2022-09-25T18:26:37Z|-2|false
mitmproxy|mitmproxy|Python|38179|2010-02-16T04:10:13Z|-15|true
TTS|coqui-ai|Python|38114|2020-05-20T15:45:28Z|-4|false
typst|typst|Rust|38068|2019-09-24T21:41:56Z|-5|true
tidb|pingcap|Go|38020|2015-09-06T04:01:52Z|-9|true
FastChat|lm-sys|Python|38000|2023-03-19T00:18:02Z|-1|false
English-level-up-tips|byoungd|HTML|37996|2017-05-30T07:18:52Z|-7|true
zju-icicles|QSCTech|HTML|37938|2016-06-28T16:17:32Z|-8|true
coolify|coollabsio|PHP|37926|2021-01-25T20:54:01Z|-4|false
styleguide|google|HTML|37906|2015-05-20T19:18:59Z|-9|true
streamlit|streamlit|Python|37898|2019-08-24T00:14:52Z|-5|true
expo|expo|TypeScript|37849|2016-08-15T17:14:25Z|-8|true
MPAndroidChart|PhilJay|Java|37841|2014-04-25T14:29:47Z|-10|true
EasySpider|NaiboWang|JavaScript|37785|2020-07-18T02:41:27Z|-4|false
zig|ziglang|Zig|37739|2015-08-06T00:51:28Z|-9|true
WeChatMsg|LC044|Python|37729|2023-01-11T05:03:49Z|-2|false
impress.js|impress|JavaScript|37720|2011-12-28T22:23:19Z|-13|true
awesome-compose|docker|HTML|37689|2020-02-13T08:51:42Z|-5|true
gorm|go-gorm|Go|37639|2013-10-25T08:31:38Z|-11|true
phaser|phaserjs|JavaScript|37620|2013-04-12T12:27:51Z|-11|true
jellyfin|jellyfin|C#|37582|2018-12-09T06:36:45Z|-6|true
vim|vim|Vim Script|37571|2015-08-18T21:03:56Z|-9|true
TrafficMonitor|zhongyang219|C++|37565|2017-07-30T02:51:17Z|-7|true
memos|usememos|Go|37519|2021-12-08T15:30:18Z|-3|false
quivr|QuivrHQ|Python|37434|2023-05-12T23:53:30Z|-1|false
ultralytics|ultralytics|Python|37344|2022-09-11T16:39:45Z|-2|false
free|freefq|não encontrado|37327|2020-06-07T02:48:33Z|-4|false
Open-Assistant|LAION-AI|Python|37252|2022-12-13T05:24:17Z|-2|false
preact|preactjs|JavaScript|37199|2015-09-11T02:40:18Z|-9|true
freecodecamp.cn|FreeCodeCampChina|CSS|37186|2016-09-30T03:13:43Z|-8|true
DeepSpeed|deepspeedai|Python|37175|2020-01-23T18:35:18Z|-5|true
leveldb|google|C++|37172|2014-08-27T21:17:52Z|-10|true
jsoncrack.com|AykutSarac|TypeScript|37132|2022-01-30T15:25:18Z|-3|false
bark|suno-ai|Jupyter Notebook|37111|2023-04-07T19:34:48Z|-1|false
tutorials|eugenp|Java|37050|2013-04-29T18:26:36Z|-11|true
curl|curl|C|37042|2010-03-18T22:32:22Z|-14|true
shellcheck|koalaman|Haskell|37024|2012-11-17T03:15:11Z|-12|true
awesome-remote-job|lukasz-madon|não encontrado|36987|2015-01-02T00:31:34Z|-10|true
python-cheatsheet|gto76|Python|36922|2018-01-25T04:16:53Z|-7|true
aria2|aria2|C++|36879|2010-11-27T09:41:48Z|-14|true
freqtrade|freqtrade|Python|36879|2017-05-17T23:48:53Z|-7|true
ant-design-pro|ant-design|TypeScript|36870|2017-08-25T10:40:44Z|-7|true
pure-bash-bible|dylanaraps|Shell|36821|2018-06-13T01:39:33Z|-6|true
interview_internal_reference|0voice|Python|36816|2019-06-10T06:54:19Z|-5|true
penpot|penpot|Clojure|36689|2015-12-29T22:09:07Z|-9|true
tmux|tmux|C|36679|2015-06-03T23:32:55Z|-9|true
OpenBB|OpenBB-finance|Python|36591|2020-12-20T10:46:38Z|-4|false
photoprism|photoprism|Go|36585|2018-01-27T12:00:15Z|-7|true
istio|istio|Go|36546|2016-11-18T23:57:21Z|-8|true
gradio|gradio-app|Python|36523|2018-12-19T08:24:04Z|-6|true
GFPGAN|TencentARC|Python|36387|2021-03-19T06:18:20Z|-3|false
GitHubDaily|GitHubDaily|não encontrado|36369|2018-12-30T13:56:58Z|-6|true
Summer2025-Internships|SimplifyJobs|não encontrado|36361|2020-05-23T20:53:18Z|-4|false
novu|novuhq|TypeScript|36358|2021-08-26T15:22:44Z|-3|false
ruff|astral-sh|Rust|36346|2022-08-09T17:17:44Z|-2|false
JavaFamily|AobingJava|não encontrado|36327|2019-11-12T04:26:18Z|-5|true
Files|files-community|C#|36315|2019-01-04T18:19:14Z|-6|true
AI-For-Beginners|microsoft|Jupyter Notebook|36271|2021-03-03T16:27:36Z|-4|false
trpc|trpc|TypeScript|36262|2020-07-18T01:17:11Z|-4|false
aspnetcore|dotnet|C#|36187|2014-03-11T06:09:42Z|-10|true
taro|NervJS|TypeScript|36159|2018-04-08T09:32:26Z|-6|true
helix|helix-editor|Rust|36135|2020-06-01T04:26:56Z|-4|false
v|vlang|V|36126|2019-02-08T02:57:06Z|-6|true
manifesto|opentofu|HTML|36125|2023-08-13T16:17:24Z|-1|false
pandoc|jgm|Haskell|36124|2010-03-20T20:34:23Z|-14|true
deeplearningbook-chinese|exacity|TeX|36123|2016-12-07T11:46:51Z|-8|true
Pake|tw93|Rust|36115|2022-10-14T09:32:57Z|-2|false
tesseract.js|naptha|JavaScript|36102|2015-06-24T02:49:52Z|-9|true
wtfpython|satwikkansal|Python|36057|2017-08-28T20:22:19Z|-7|true
arthas|alibaba|Java|36032|2018-08-29T17:15:57Z|-6|true
wtfjs|denysdovhan|JavaScript|35984|2017-07-14T15:42:12Z|-7|true
og-aws|open-guides|Shell|35896|2016-07-13T17:30:16Z|-8|true
DragGAN|XingangPan|Python|35871|2023-05-18T10:08:02Z|-1|false
MockingBird|babysor|Python|35867|2021-08-07T03:53:39Z|-3|false
zod|colinhacks|TypeScript|35861|2020-03-07T20:59:08Z|-4|false
lerna|lerna|TypeScript|35852|2015-12-04T09:36:55Z|-9|true
appsmith|appsmithorg|TypeScript|35833|2020-06-30T04:07:36Z|-4|false
devdocs|freeCodeCamp|Ruby|35821|2013-10-24T18:16:07Z|-11|true
Flowise|FlowiseAI|TypeScript|35789|2023-03-31T12:23:09Z|-1|false
fd|sharkdp|Rust|35781|2017-05-09T21:27:10Z|-7|true
insomnia|Kong|JavaScript|35769|2016-04-23T03:54:26Z|-8|true
ray|ray-project|Python|35767|2016-10-25T19:38:30Z|-8|true
spotube|KRTirtho|Dart|35759|2021-02-14T03:17:58Z|-4|false
daisyui|saadeghi|Svelte|35709|2020-11-28T22:57:27Z|-4|false
interview|huihut|C++|35565|2018-02-09T09:49:48Z|-7|true
googletest|google|C++|35528|2015-07-28T15:07:53Z|-9|true
gym|openai|Python|35511|2016-04-27T14:59:16Z|-8|true
shadowsocks-android|shadowsocks|Kotlin|35506|2012-12-16T13:40:29Z|-12|true
RSSHub|DIYgod|TypeScript|35495|2018-04-02T14:43:21Z|-6|true
hello-algorithm|geekxh|Java|35489|2020-05-29T05:47:09Z|-4|false
sheetjs|SheetJS|não encontrado|35434|2012-12-03T19:25:52Z|-12|true
upscayl|upscayl|TypeScript|35407|2022-07-30T17:19:20Z|-2|false
date-fns|date-fns|TypeScript|35394|2014-10-06T10:24:22Z|-10|true
fullPage.js|alvarotrigo|JavaScript|35386|2013-09-20T11:58:29Z|-11|true
koa|koajs|JavaScript|35363|2013-07-20T18:53:45Z|-11|true
chatgpt-on-wechat|zhayujie|Python|35310|2022-08-07T08:33:41Z|-2|false
lottie-android|airbnb|Java|35219|2016-10-06T22:42:42Z|-8|true
logseq|logseq|Clojure|35213|2020-05-23T00:06:06Z|-4|false
fiber|gofiber|Go|35208|2020-01-16T03:59:20Z|-5|true
slidev|slidevjs|TypeScript|35137|2021-04-24T01:25:23Z|-3|false
Awesome-Design-Tools|goabstract|JavaScript|35112|2019-02-12T13:55:30Z|-6|true
nativefier|nativefier|TypeScript|35099|2015-07-05T05:56:42Z|-9|true
955.WLB|formulahendry|não encontrado|35030|2019-03-27T23:53:37Z|-5|true
google-research|google-research|Jupyter Notebook|35014|2018-10-04T18:42:48Z|-6|true
lapce|lapce|Rust|35011|2018-02-06T08:41:06Z|-7|true
browser-use|browser-use|Python|34977|2024-10-31T16:00:56Z|0|false
awesome-react-native|jondot|JavaScript|34959|2015-03-26T19:58:06Z|-9|true
metasploit-framework|rapid7|Ruby|34951|2011-08-30T06:13:20Z|-13|true
typeorm|typeorm|TypeScript|34950|2016-02-29T07:41:14Z|-9|true
hackathon-starter|sahat|JavaScript|34949|2013-11-13T17:24:12Z|-11|true
carbon|carbon-app|JavaScript|34934|2017-06-16T02:50:28Z|-7|true
cli|httpie|Python|34924|2012-02-25T12:39:13Z|-13|true
ccxt|ccxt|Python|34895|2017-05-14T15:41:56Z|-7|true
ToolJet|ToolJet|JavaScript|34870|2021-03-30T08:51:34Z|-3|false
halo|halo-dev|Java|34864|2018-03-21T12:56:52Z|-6|true
compose|docker|Go|34847|2013-12-09T11:40:58Z|-11|true
ChatTTS|2noise|Python|34829|2024-05-27T18:26:49Z|0|false
glide|bumptech|Java|34799|2013-07-08T22:52:33Z|-11|true
union|unionlabs|Rust|34788|2023-05-16T22:33:39Z|-1|false
the-way-to-go_ZH_CN|unknwon|Go|34748|2013-03-24T17:18:38Z|-11|true
system-design|karanpratapsingh|não encontrado|34717|2022-08-15T18:59:54Z|-2|false
vim-plug|junegunn|Vim Script|34588|2013-09-10T14:58:51Z|-11|true
TaskMatrix|chenfei-wu|Python|34537|2023-03-02T09:04:28Z|-2|false
HanLP|hankcs|Python|34507|2014-10-09T06:36:16Z|-10|true
node-v0.x-archive|nodejs|não encontrado|34417|2009-05-27T16:29:46Z|-15|true
cal.com|calcom|TypeScript|34319|2021-03-22T13:47:42Z|-3|false
caffe|BVLC|C++|34246|2013-09-12T18:39:48Z|-11|true
formik|jaredpalmer|TypeScript|34163|2017-06-14T19:50:59Z|-7|true
clipboard.js|zenorocha|JavaScript|34121|2015-09-18T23:04:55Z|-9|true
nushell|nushell|Rust|34094|2019-05-10T16:59:42Z|-5|true
awesome-javascript|sorrycc|não encontrado|34016|2014-07-01T15:59:02Z|-10|true
marked|markedjs|TypeScript|34008|2011-07-24T13:15:51Z|-13|true
12306|testerSunshine|Python|33998|2017-05-17T12:23:40Z|-7|true
spacedrive|spacedriveapp|TypeScript|33996|2021-09-27T05:09:04Z|-3|false
gold-miner|xitu|não encontrado|33967|2015-11-04T03:29:13Z|-9|true
REKCARC-TSC-UHT|PKUanonym|HTML|33936|2019-04-05T03:31:23Z|-5|true
node|inkonchain|Shell|33880|2024-05-13T23:20:40Z|0|false
Langchain-Chatchat|chatchat-space|TypeScript|33861|2023-03-31T12:12:45Z|-1|false
netty|netty|Java|33847|2010-11-09T09:22:21Z|-14|true
docs|inkonchain|MDX|33832|2024-05-07T16:49:36Z|0|false
awesome-shell|alebcay|não encontrado|33832|2014-07-07T01:57:42Z|-10|true
jieba|fxsjy|Python|33769|2012-09-29T07:52:01Z|-12|true
react-beautiful-dnd|atlassian|JavaScript|33705|2017-08-09T03:37:15Z|-7|true
ink-kit|inkonchain|TypeScript|33678|2024-11-04T16:32:17Z|0|false
shadowsocks|shadowsocks|Python|33604|2012-04-20T13:10:49Z|-12|true
AndroidUtilCode|Blankj|Java|33474|2016-07-30T18:18:32Z|-8|true
sqlmap|sqlmapproject|Python|33450|2012-06-26T09:52:15Z|-12|true
spring-boot-demo|xkcoding|Java|33440|2017-11-10T06:27:29Z|-7|true
faiss|facebookresearch|C++|33392|2017-02-07T16:07:05Z|-8|true
LeetCode-Go|halfrost|Go|33369|2017-07-18T00:06:14Z|-7|true
AFNetworking|AFNetworking|Objective-C|33354|2011-05-31T21:28:44Z|-13|true
windows|dockur|Shell|33345|2024-01-14T13:09:40Z|-1|false
pytorch-image-models|huggingface|Python|33344|2019-02-02T05:51:12Z|-6|true
framework|laravel|PHP|33250|2013-01-10T21:27:28Z|-12|true
brackets|adobe|JavaScript|33238|2011-12-07T21:14:40Z|-13|true
unsloth|unslothai|Python|33202|2023-11-29T16:50:09Z|-1|false
XX-Net|XX-net|Python|33176|2015-01-15T09:35:51Z|-10|true
husky|typicode|JavaScript|33169|2014-06-23T12:14:21Z|-10|true
easyexcel|alibaba|Java|33149|2018-02-06T03:14:08Z|-7|true
leetcode|doocs|Java|33145|2018-09-16T14:03:03Z|-6|true
fastify|fastify|JavaScript|33137|2016-09-28T19:10:14Z|-8|true
zxing|zxing|Java|33110|2011-10-12T14:07:27Z|-13|true
solid|solidjs|TypeScript|33102|2018-04-24T16:36:27Z|-6|true
gulp|gulpjs|JavaScript|33095|2013-07-04T05:26:06Z|-11|true
Coursera-ML-AndrewNg-Notes|fengdu78|HTML|33087|2017-11-04T10:04:08Z|-7|true
NewPipe|TeamNewPipe|Java|33086|2015-09-03T23:39:26Z|-9|true
AgentGPT|reworkd|TypeScript|33055|2023-04-07T02:29:19Z|-1|false
ladybird|LadybirdBrowser|C++|33039|2024-05-30T09:18:10Z|0|false
immutable-js|immutable-js|TypeScript|33022|2014-07-02T06:02:29Z|-10|true
payload|payloadcms|TypeScript|32919|2021-01-05T18:49:45Z|-4|false
JavaScript|TheAlgorithms|JavaScript|32907|2017-07-13T06:12:33Z|-7|true
linux-command|jaywcjlove|Markdown|32884|2016-11-12T15:44:26Z|-8|true
milvus|milvus-io|Go|32874|2019-09-16T06:43:43Z|-5|true
ijkplayer|bilibili|C|32762|2013-06-03T04:12:04Z|-11|true
legado|gedoor|Kotlin|32744|2019-05-22T04:18:58Z|-5|true
plane|makeplane|TypeScript|32726|2022-11-19T12:55:01Z|-2|false
poetry|python-poetry|Python|32702|2018-02-28T15:23:47Z|-7|true
chatbox|Bin-Huang|TypeScript|32697|2023-03-06T12:22:15Z|-1|false
cline|cline|TypeScript|32667|2024-07-06T07:28:10Z|0|false
ShadowsocksX-NG|shadowsocks|Swift|32652|2016-06-10T11:49:00Z|-8|true
carbon-lang|carbon-language|C++|32650|2020-04-27T21:45:16Z|-4|false
Python|geekcomputers|Python|32627|2011-11-30T09:04:08Z|-13|true
siyuan|siyuan-note|TypeScript|32616|2020-08-30T09:21:35Z|-4|false
engineering-blogs|kilimchoi|Ruby|32605|2015-06-13T18:25:17Z|-9|true
harness|harness|Go|32485|2014-02-07T07:54:44Z|-11|true
gpt-pilot|Pythagora-io|Python|32433|2023-08-16T11:56:07Z|-1|false
awesome-awesomeness|bayandin|Ruby|32408|2014-07-08T05:44:19Z|-10|true
zsh-autosuggestions|zsh-users|Shell|32368|2013-10-26T16:09:37Z|-11|true
material-design-lite|google|HTML|32294|2015-01-14T22:01:33Z|-10|true
crawl4ai|unclecode|Python|32200|2024-05-09T09:48:50Z|0|false
LLM101n|karpathy|não encontrado|32173|2024-05-27T00:23:38Z|0|false
portainer|portainer|TypeScript|32158|2016-05-19T20:15:28Z|-8|true
polars|pola-rs|Rust|32146|2020-05-13T19:45:33Z|-4|false
HEU_KMS_Activator|zbezj|não encontrado|32143|2019-06-23T00:49:35Z|-5|true
How-To-Ask-Questions-The-Smart-Way|ryanhanwu|JavaScript|32023|2015-03-28T16:52:40Z|-9|true
shardeum|shardeum|TypeScript|31992|2024-04-16T22:37:25Z|0|false
certbot|certbot|Python|31974|2014-11-12T02:52:20Z|-10|true
openpose|CMU-Perceptual-Computing-Lab|C++|31969|2017-04-24T14:06:31Z|-7|true
run|The-Run-Philosophy-Organization|não encontrado|31914|2022-04-10T05:42:40Z|-2|false
vault|hashicorp|Go|31882|2015-02-25T00:15:59Z|-10|true
beego|beego|Go|31879|2012-02-29T02:32:08Z|-13|true
chatgpt-web|Chanzhaoyu|Vue|31875|2023-02-09T03:21:37Z|-2|false
my-tv|lizongying|C|31831|2023-12-04T12:18:39Z|-1|false
mattermost|mattermost|TypeScript|31789|2015-06-15T06:50:02Z|-9|true
swc|swc-project|Rust|31777|2017-12-22T11:40:14Z|-7|true
selenium|SeleniumHQ|Java|31725|2013-01-14T21:40:56Z|-12|true
modern-unix|ibraheemdev|não encontrado|31692|2021-01-12T00:50:14Z|-4|false
AnotherRedisDesktopManager|qishibo|JavaScript|31691|2019-01-08T06:01:56Z|-6|true
RevokeMsgPatcher|huiyadanli|C#|31686|2019-07-21T15:12:52Z|-5|true
android-open-project|Trinea|não encontrado|31683|2014-01-05T15:20:15Z|-11|true
ControlNet|lllyasviel|Python|31598|2023-02-01T02:43:30Z|-2|false
bruno|usebruno|JavaScript|31569|2022-09-27T20:51:45Z|-2|false
jax|jax-ml|Python|31482|2018-10-25T21:25:02Z|-6|true
awesome-docker|veggiemonk|não encontrado|31427|2014-09-21T17:01:48Z|-10|true
graphql-engine|hasura|TypeScript|31383|2018-06-18T07:57:36Z|-6|true
awesome-php|ziadoz|não encontrado|31366|2013-11-26T03:14:19Z|-11|true
detectron2|facebookresearch|Python|31361|2019-09-05T21:30:20Z|-5|true
nps|ehang-io|Go|31346|2018-11-04T13:22:51Z|-6|true
C-Plus-Plus|TheAlgorithms|C++|31326|2016-07-16T10:19:45Z|-8|true
jq|jqlang|C|31311|2012-07-18T19:57:25Z|-12|true
yew|yewstack|Rust|31280|2017-12-16T14:19:02Z|-7|true
serenity|SerenityOS|C++|31170|2018-12-02T19:28:41Z|-6|true
llvm-project|llvm|LLVM|31161|2016-12-07T09:39:33Z|-8|true
OpenVoice|myshell-ai|Python|31158|2023-11-29T12:17:01Z|-1|false
learnGitBranching|pcottle|JavaScript|31134|2012-08-13T22:36:09Z|-12|true
swr|vercel|TypeScript|31098|2019-10-28T18:16:01Z|-5|true
fairseq|facebookresearch|Python|31072|2017-08-29T16:26:12Z|-7|true
vimrc|amix|Vim Script|31062|2012-05-29T16:19:29Z|-12|true
rxjs|ReactiveX|TypeScript|31059|2015-03-15T06:17:10Z|-9|true
remote-jobs|remoteintech|JavaScript|31054|2015-10-13T03:49:25Z|-9|true
spaCy|explosion|Python|31043|2014-07-03T15:15:40Z|-10|true
html2canvas|niklasvh|TypeScript|31030|2011-07-16T01:05:58Z|-13|true
ShareX|ShareX|C#|31001|2013-10-08T23:32:10Z|-11|true
HowToLiveLonger|geekan|não encontrado|30996|2022-04-16T04:15:18Z|-2|false
MS-DOS|microsoft|Assembly|30984|2018-06-25T18:26:02Z|-6|true
aseprite|aseprite|C++|30981|2014-08-19T23:44:50Z|-10|true
jQuery-File-Upload|blueimp|PHP|30946|2010-12-01T15:35:32Z|-14|true
lottie-web|airbnb|JavaScript|30929|2015-02-20T21:02:59Z|-10|true
nacos|alibaba|Java|30924|2018-06-15T06:49:27Z|-6|true
pnpm|pnpm|TypeScript|30914|2016-01-28T07:40:43Z|-9|true
Blog|mqyqingfeng|não encontrado|30905|2017-03-13T10:04:33Z|-7|true
pytorch-tutorial|yunjey|Python|30890|2017-03-10T07:41:47Z|-7|true
remix|remix-run|TypeScript|30835|2020-10-26T19:57:28Z|-4|false
LocalAI|mudler|Go|30783|2023-03-18T22:58:02Z|-1|false
outline|outline|TypeScript|30775|2016-05-22T21:31:47Z|-8|true
floating-ui|floating-ui|TypeScript|30754|2016-03-29T17:00:47Z|-8|true
etcher|balena-io|TypeScript|30739|2015-10-27T16:53:23Z|-9|true
