name|owner|language|stargazerCount|createdAt|amountYear|isOld
ML-For-Beginners|microsoft|HTML|71288|2021-03-03T01:34:05Z|-4|false
vite|vitejs|TypeScript|71038|2020-04-21T05:03:57Z|-4|false
code-server|coder|TypeScript|70067|2019-02-27T16:50:41Z|-6|true
playwright|microsoft|TypeScript|69794|2019-11-15T18:32:42Z|-5|true
stable-diffusion|CompVis|Jupyter Notebook|69780|2022-08-10T14:36:44Z|-2|false
devops-exercises|bregman-arie|Python|69679|2019-10-03T17:31:21Z|-5|true
nest|nestjs|TypeScript|69669|2017-02-04T20:12:52Z|-8|true
Front-End-Checklist|thedaviddias|não encontrado|69629|2017-10-16T10:12:36Z|-7|true
ComfyUI|comfyanonymous|Python|69433|2023-01-17T03:15:56Z|-2|false
HowToCook|Anduin2017|Dockerfile|69345|2020-02-29T10:43:49Z|-5|true
moby|moby|Go|69268|2013-01-18T18:10:57Z|-12|true
system-design-101|ByteByteGoHq|não encontrado|69009|2023-09-18T20:52:03Z|-1|false
flask|pallets|Python|68962|2010-04-06T11:11:59Z|-14|true
screenshot-to-code|abi|Python|68800|2023-11-14T17:53:32Z|-1|false
hoppscotch|hoppscotch|TypeScript|68718|2019-08-21T13:15:24Z|-5|true
node|base|Shell|68554|2023-02-01T13:55:02Z|-2|false
reveal.js|hakimel|JavaScript|68438|2011-06-07T18:54:22Z|-13|true
fzf|junegunn|Go|68390|2013-10-23T16:04:23Z|-11|true
cs-video-courses|Developer-Y|não encontrado|68231|2016-10-21T17:02:11Z|-8|true
swift|swiftlang|C++|68186|2015-10-23T21:15:07Z|-9|true
redis|redis|C|68184|2009-03-21T22:32:25Z|-15|true
syncthing|syncthing|Go|68024|2013-11-26T09:48:21Z|-11|true
gpt_academic|binary-husky|Python|67772|2023-03-20T09:05:13Z|-1|false
awesome-machine-learning|josephmisiti|Python|67104|2014-07-15T19:11:19Z|-10|true
awesome-react|enaqx|não encontrado|67035|2014-08-06T05:31:44Z|-10|true
grafana|grafana|TypeScript|66772|2013-12-11T15:59:56Z|-11|true
protobuf|protocolbuffers|C++|66732|2014-08-26T15:52:15Z|-10|true
express|expressjs|JavaScript|66407|2009-06-26T18:56:01Z|-15|true
d2l-zh|d2l-ai|Python|66324|2017-08-23T04:40:24Z|-7|true
Best-websites-a-programmer-should-visit|sdmg15|não encontrado|66146|2017-03-05T20:25:17Z|-7|true
cpython|python|Python|65563|2017-02-10T19:23:51Z|-8|true
Chart.js|chartjs|JavaScript|65416|2013-03-17T23:56:36Z|-11|true
uptime-kuma|louislam|JavaScript|65324|2021-07-03T01:02:42Z|-3|false
strapi|strapi|TypeScript|65266|2015-09-30T15:34:48Z|-9|true
Ventoy|ventoy|C|65246|2020-03-10T15:19:19Z|-4|false
webpack|webpack|JavaScript|65084|2012-03-10T10:08:14Z|-12|true
tesseract|tesseract-ocr|C++|65003|2014-08-12T18:04:59Z|-10|true
superset|apache|TypeScript|64770|2015-07-21T18:55:34Z|-9|true
33-js-concepts|leonardomso|JavaScript|64756|2018-09-04T13:27:04Z|-6|true
ansible|ansible|Python|64208|2012-03-06T14:58:02Z|-12|true
n8n|n8n-io|TypeScript|64181|2019-06-22T09:24:21Z|-5|true
interviews|kdn251|Java|63977|2017-02-14T18:19:25Z|-8|true
gpt4free|xtekky|Python|63746|2023-03-29T17:00:43Z|-1|false
PayloadsAllTheThings|swisskyrepo|Python|63608|2016-10-18T07:29:07Z|-8|true
imgui|ocornut|C++|63547|2014-07-21T14:29:47Z|-10|true
javascript-questions|lydiahallie|não encontrado|63502|2019-06-12T08:26:27Z|-5|true
the-algorithm|twitter|Scala|62976|2023-03-27T14:57:57Z|-1|false
sherlock|sherlock-project|Python|62785|2018-12-24T14:30:48Z|-6|true
keras|keras-team|Python|62640|2015-03-28T00:35:42Z|-9|true
obs-studio|obsproject|C|62585|2013-10-01T02:40:31Z|-11|true
sway|FuelLabs|Rust|62432|2021-01-19T20:54:33Z|-4|false
resume.github.com|resume|JavaScript|62279|2011-02-06T13:39:55Z|-14|true
tabby|Eugeny|TypeScript|62223|2016-12-23T09:06:10Z|-8|true
awesome-public-datasets|awesomedata|não encontrado|62210|2014-11-20T06:20:50Z|-10|true
awesome-cpp|fffaraz|não encontrado|62132|2014-07-17T08:51:11Z|-10|true
openai-cookbook|openai|MDX|62076|2022-03-11T02:08:53Z|-2|false
caddy|caddyserver|Go|62023|2015-01-13T19:45:03Z|-10|true
echarts|apache|TypeScript|62008|2013-04-03T03:18:59Z|-11|true
socket.io|socketio|TypeScript|61707|2010-03-11T18:24:48Z|-14|true
nocode|kelseyhightower|Dockerfile|61657|2018-02-06T23:54:00Z|-7|true
scikit-learn|scikit-learn|Python|61305|2010-08-17T09:43:38Z|-14|true
SecLists|danielmiessler|PHP|61149|2012-02-19T01:30:18Z|-13|true
redux|reduxjs|TypeScript|61090|2015-05-29T23:53:15Z|-9|true
AppFlowy|AppFlowy-IO|Dart|61036|2021-06-16T12:56:48Z|-3|false
Java|TheAlgorithms|Java|60952|2016-07-16T10:21:02Z|-8|true
cs-self-learning|PKUFlyingPig|HTML|60766|2021-10-20T13:43:42Z|-3|false
Apollo-11|chrislgarry|Assembly|60762|2014-04-03T15:45:02Z|-10|true
awesome-scalability|binhnguyennus|não encontrado|60721|2017-12-27T03:46:40Z|-7|true
atom|atom|JavaScript|60339|2012-01-20T18:18:21Z|-13|true
lodash|lodash|JavaScript|60194|2012-04-07T04:11:46Z|-12|true
architect-awesome|xingshaocheng|não encontrado|60038|2018-04-06T13:30:58Z|-6|true
design-resources-for-developers|bradtraversy|não encontrado|60038|2020-05-06T14:40:35Z|-4|false
Front-end-Developer-Interview-Questions|h5bp|Nunjucks|60021|2012-02-09T23:34:10Z|-13|true
markdown-here|adam-p|JavaScript|59822|2012-05-13T03:27:22Z|-12|true
awesome-nodejs|sindresorhus|não encontrado|59769|2014-07-11T13:35:34Z|-10|true
immich|immich-app|TypeScript|59686|2022-02-03T15:56:27Z|-3|false
jquery|jquery|JavaScript|59422|2009-04-03T15:20:14Z|-15|true
awesome-courses|prakhar1989|não encontrado|59231|2014-11-15T18:36:49Z|-10|true
new-pac|Alvin9999|Python|59049|2016-03-23T08:43:36Z|-8|true
annotated_deep_learning_paper_implementations|labmlai|Python|58912|2020-08-25T02:29:34Z|-4|false
angular.js|angular|JavaScript|58747|2010-01-06T00:34:37Z|-15|true
