file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\starters\DocumentStarters.java,org.springframework.boot.build.starters.DocumentStarters,class,13,14,1,13,11,2,0,36,16,0.5,0.0,0.0,8,0,3,4,0,1,4,1,0,0,1,0,0,1,0,0,1,0,1,84,4,0,0,2,0,18,0,7,1,10,3,0,1,3,54,1025,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\antora\AntoraDependenciesPlugin.java,org.springframework.boot.build.antora.AntoraDependenciesPlugin$AntoraDependency,innerclass,6,6,0,6,7,1,0,2,0,0.33333334,0.0,0.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,2,0,0,27,2,0,0,0,0,0,0,3,0,3,0,0,0,0,18,9,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\antora\AntoraAsciidocAttributes.java,org.springframework.boot.build.antora.AntoraAsciidocAttributes$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\github\GitHubRepository.java,org.springframework.boot.build.bom.bomr.github.GitHubRepository,interface,2,6,4,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\bom\bomr\version\ReleaseTrainDependencyVersion.java,org.springframework.boot.build.bom.bomr.version.ReleaseTrainDependencyVersion,class,3,8,5,3,33,1,0,14,40,0.73846155,0.0,0.0,13,1,8,4,0,1,9,0,0,0,5,1,0,5,0,0,5,0,4,97,26,0,7,0,3,2,15,11,0,9,1,0,0,0,64,16,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\antora\Extensions.java,org.springframework.boot.build.antora.AntoraExtensionsConfiguration,class,4,6,2,4,6,3,0,12,8,0.6,0.0,0.0,5,0,0,1,0,4,4,0,0,0,1,0,0,1,0,0,1,0,1,71,1,0,1,0,0,1,0,5,0,8,2,0,3,2,33,24,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\MavenRepositoryPlugin.java,org.springframework.boot.build.MavenRepositoryPlugin$CleanAction,innerclass,2,2,0,2,2,1,0,1,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,26,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\test\java\org\springframework\boot\build\bom\LibraryTests.java,org.springframework.boot.build.bom.LibraryTests,class,8,8,0,8,4,1,0,7,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,10,38,0,0,0,0,0,11,0,24,0,24,0,0,0,0,37,0,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\testing\TestResultsOverview.java,org.springframework.boot.build.testing.TestResultsOverview,class,6,8,2,6,5,1,0,15,1,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,1,40,1,0,1,0,2,6,1,3,2,6,2,0,1,2,30,1025,0
C:\Users\ramon\OneDrive\Documentos\trabalhoFacul\laboratorio-de-experimentacao\lab-2\clone_repositories\spring-boot\buildSrc\src\main\java\org\springframework\boot\build\processors\AnnotationProcessorPlugin.java,org.springframework.boot.build.processors.AnnotationProcessorPlugin,class,5,5,0,5,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,14,0,0,0,0,0,2,0,2,0,5,2,0,0,3,25,1,0
